quote_id,text,attribution,meaning,sort_order,active
q_051,失敗は成功のもと,日本のことわざ,"失敗から教訓を得て、やり方を変えれば、それは成功へのステップになる。",51,TRUE
q_052,雨降って地固まる,日本のことわざ,"トラブルや葛藤を乗り越えた後は、以前よりも基盤が強固になる。",52,TRUE
q_053,人間万事塞翁が馬,淮南子,"人生の幸不幸は予測できない。悪い時も腐らず、良い時も驕らず進め。",53,TRUE
q_054,冬来たりなば春遠からじ,パーシー・シェリー,"今が最も苦しいのなら、次は良くなるしかない。希望を捨てるな。",54,TRUE
q_055,意志あるところに道は開ける,エイブラハム・リンカーン,"方法を探す前に、まず「成し遂げる」という強い覚悟を決めよ。道は後からできる。",55,TRUE
q_056,止まりさえしなければ、どんなにゆっくり進んでも構わない,孔子,"速度競争に惑わされるな。一番恐ろしいのは、歩みを止めることだ。",56,TRUE
q_057,逆風は、帆を張るチャンスだ,日本の格言,"困難を障害と捉えるか、飛躍のためのバネと捉えるか。すべては視点次第。",57,TRUE
q_058,下を向いていたら、虹を見つけることはできないよ,チャップリン,"過去の後悔や足元の不安ばかり見ず、顔を上げて未来の可能性を探せ。",58,TRUE
q_059,暗闇があるから、光が見える,日本の格言,"苦しみや挫折を経験したからこそ、小さな成功や幸福に心から感謝できる。",59,TRUE
q_060,最悪の事態には必ず相応のチャンスが眠ってるもんだ,西洋の格言,"全てが壊れた時こそ、しがらみを捨てて新しい自分に作り替える好機。",60,TRUE
q_061,自分の世界は、自分で変えなければ,日本の格言,"他人や環境が変わるのを待つのは時間の無駄。自分が変われば世界も変わる。",61,TRUE
q_062,自分を信じない奴なんかに、努力する価値は無い,NARUTO（マイト・ガイ）,"自分の可能性を疑いながらの努力は実らない。まずは自分に期待せよ。",62,TRUE
q_063,人にできて、きみだけにできないなんてことあるもんか,ドラえもん,"同じ人間が成し遂げたことなら、あなたにも必ず道はあるという励まし。",63,TRUE
q_064,明日は明日の風が吹く,日本のことわざ,"今日の失敗をいつまでも引きずらない。明日は新しいチャンスが来る。",64,TRUE
q_065,ピンチはチャンス,日本の格言,"窮地に追い込まれた時ほど、思い切った決断や進化ができる。",65,TRUE
q_066,果報は寝て待て,日本のことわざ,"やるべきことをすべてやり尽くしたなら、あとは天命を待つゆとりを持て。",66,TRUE
q_067,捲土重来,四字熟語,"一度の失敗に屈せず、力を蓄えて再び勢いよく盛り返すこと。",67,TRUE
q_068,不言実行,四字熟語,"（既出）言葉で飾るより、行動のスピードと結果の重みで信頼を勝ち取れ。",68,TRUE
q_069,泰然自若,四字熟語,"予期せぬトラブルが起きても、慌てず冷静に、自分を保ち続けること。",69,TRUE
q_070,背水の陣,史記,"あえて逃げ道を断つことで、自分の中に眠る爆発的な力を引き出す。",70,TRUE
q_071,限界を決めるのは、いつも自分だ,日本の格言,"身体の限界より先に、心の限界が来る。思考を広げれば限界も広がる。",71,TRUE
q_072,100回叩くと壊れる壁を、99回目で諦めてはいけない,日本の格言,"成功は、あなたが「もうダメだ」と思ったその一歩先に隠れている。",72,TRUE
q_073,転んでもただでは起きぬ,日本のことわざ,"失敗したとしても、ただ損をするだけでなく、何か一つでも教訓を拾って立て。",73,TRUE
q_074,雲の上はいつも晴れ,日本の格言,"今が嵐でも、雲の向こうには恒久的な青空があることを忘れるな。",74,TRUE
q_075,他人の評価ではなく、自分の物差しで生きろ,日本の格言,"他人の人生を生きるな。自分が「正しい」「面白い」と思う道を行け。",75,TRUE
q_076,"少年よ、大志を抱け（Boys, be ambitious）",ウィリアム・スミス・クラーク,"お金や名声のためではなく、人間として成すべき大きな志を持て。",76,TRUE
q_077,死ぬこと以外かすり傷,山崎拓巳,"命さえあれば、どんな経済的・社会的損失も、何度でもリカバリーできる。",77,TRUE
q_078,おもしろき こともなき世を おもしろく,高杉晋作,"世界がつまらないのではない。面白く生きる力が自分に足りないだけだ。",78,TRUE
q_079,現状維持は後退の始まりである,ウォルト・ディズニー,"変化を拒むことは、進歩を止めること。常に新しい挑戦が必要だ。",79,TRUE
q_080,人生の目的は、目的のある人生を送ることだ,ロバート・バーン,"ただ漫然と過ごすのではなく、自分なりの「なぜ」を持って生きよ。",80,TRUE
q_081,明日死ぬと思って生きなさい。永遠に生きると思って学びなさい,ガンジー,"今を全力で燃焼させ、同時に魂を磨く学びを生涯継続せよ。",81,TRUE
q_082,"Stay Hungry, Stay Foolish",スティーブ・ジョブズ,"現状に満足せず、常識に囚われない「愚か者」の熱狂を持ち続けろ。",82,TRUE
q_083,夢は逃げない。逃げるのはいつも自分だ,高橋歩,"夢は実現されるのを待っている。あなたが諦めなければ、道は途絶えない。",83,TRUE
q_084,志高く,坂本龍馬,"小さな利害にこだわらず、世のため人のため、大きな視座を持って生きろ。",84,TRUE
q_085,一灯照隅,最澄,"自分が今いる場所で精一杯輝けば、その光が周囲を、そして国を照らす。",85,TRUE
q_086,敬天愛人,西郷隆盛,"天の道に従い、自分を愛するように他人も慈しみ、無私で生きる。",86,TRUE
q_087,我が生涯に一片の悔いなし！,北斗の拳（ラオウ）,"最後まで自分の意志を貫き、納得して幕を引けるような生き様を。",87,TRUE
q_088,人の一生は重荷を負うて遠き道を行くが如し。急ぐべからず,徳川家康,"人生は長い。目先の焦りを捨て、着実な歩みが最後には勝利を呼ぶ。",88,TRUE
q_089,鶏口となるも牛後となるなかれ,史記,"強大なものに従うよりも、小さな組織でも自ら主体的に動ける立場であれ。",89,TRUE
q_090,温故知新,論語,"古い教えや経験を大切にし、そこから新しい時代の知恵を導き出すこと。",90,TRUE
q_091,一期一会,四字熟語,"（16番と同様）その瞬間、その出会いに全霊を込める。",91,TRUE
q_092,晴耕雨読,四字熟語,"自然の摂理に合わせ、無理をせず、知識と心を守りながら生きる。",92,TRUE
q_093,中庸こそ美徳,アリストテレス,"両極端を避け、常に最適なバランスを見定める知性こそが幸福の鍵。",93,TRUE
q_094,幸福になりたいのなら、なりなさい,トルストイ,"幸せは「なるもの」ではなく、自分の心が「決めるもの」である。",94,TRUE
q_095,自分に打ち勝つことが、最も偉大な勝利である,プラトン,"他人を倒すより、自分の中の怠慢、恐怖、傲慢を制御する方が難しい。",95,TRUE
q_096,情けは人のためならず,日本のことわざ,"人に親切にするのは、最終的に自分に良い報いが返ってくるためである。",96,TRUE
q_097,笑う門には福来たる,日本のことわざ,"辛い時でも笑顔を絶やさない場所には、自然と幸運が舞い込んでくる。",97,TRUE
q_098,自業自得,四字熟語,"（現代では悪い意味が多いが）自分の蒔いた種は、良くも悪くも自分が刈り取る。",98,TRUE
q_099,知恵と勇気は銃にも勝る,日本の格言,"暴力や力づくの解決よりも、正しい知識と立ち向かう心こそが状況を変える。",99,TRUE
q_100,何もしないことこそ、最大の失敗だ,日本の格言,"ミスを避けて立ち止まることは、時間という最も貴重な資産を捨てること。",100,TRUE
q_101,一念天に通ず,日本のことわざ,"固い決意を持って一心に励めば、その思いは天に通じ、必ず成就する。",101,TRUE
q_102,果報は寝て待て,日本のことわざ,"自分のベストを尽くした後は、焦らずに幸運がやってくる時期を待つのが良い。",102,TRUE
q_103,初心忘るべからず,世阿弥,"物事を始めた時の謙虚な気持ちや緊張感を、一生忘れてはならない。",103,TRUE
q_104,枯れ木も山のにぎわい,日本のことわざ,"つまらないものでも無いよりはマシ。自分を卑下せず、その場にいることに価値を見出す。",104,TRUE
q_105,先んずれば人を制す,史記,"何事も他人より一歩先に行動を起こせば、有利な立場に立てる。",105,TRUE
q_106,失敗は成功の母,日本のことわざ,"失敗の原因を深く反省し、改善していくことで、次の成功へ近づくことができる。",106,TRUE
q_107,善は急げ,日本のことわざ,"良いと思ったことは、ためらわずにすぐ実行に移すべきである。",107,TRUE
q_108,待てば海路の日和あり,日本のことわざ,"今は状況が悪くても、じっと待っていれば必ず絶好のチャンス（航海日和）が訪れる。",108,TRUE
q_109,聞くは一時の恥、聞かぬは一生の恥,日本のことわざ,"知らないことを聞くのはその時だけ恥ずかしいが、聞かずに過ごせば一生無知のまま過ごすことになる。",109,TRUE
q_110,禍を転じて福となす,戦国策,"身に降りかかった災難をうまく利用して、逆に幸せな状態に変えること。",110,TRUE
q_111,一石二鳥,四字熟語,"一つの行動で、二つの利益を同時に手に入れること。効率的な動きの重要性。",111,TRUE
q_112,百戦錬磨,四字熟語,"数多くの実戦経験を積み、鍛え抜かれていること。経験こそが自信を作る。",112,TRUE
q_113,勇往邁進,四字熟語,"自分の目標に向かって、恐れることなくまっしぐらに突き進むこと。",113,TRUE
q_114,猪突猛進,四字熟語,"周囲の状況を顧みず、目標に対して猛烈な勢いで突き進むこと。",114,TRUE
q_115,不退転,四字熟語,"どんな困難に直面しても、決して志を曲げず、後退しない強い意志。",115,TRUE
q_116,日進月歩,四字熟語,"日ごと月ごとに、絶え間なく急速に進歩・発展していくこと。",116,TRUE
q_117,乾坤一擲,四字熟語,"運命を賭けて、のるかそるかの大勝負に出ること。",117,TRUE
q_118,一生懸命,四字熟語,"命を懸けて一つのことに打ち込むこと（元来は「一所懸命」）。",118,TRUE
q_119,力戦奮闘,四字熟語,"力を出し切り、勇気を奮って全力で戦い抜くこと。",119,TRUE
q_120,磨穿鉄硯,四字熟語,"鉄の硯をすり減らすほど、猛烈に勉強や努力を積み重ねること。",120,TRUE
q_121,点滴石を穿つ,漢書,"わずかな水滴でも、絶えず同じ所に落ちれば、ついには固い石に穴をあける。",121,TRUE
q_122,涓埃の功,日本のことわざ,"ほんのわずかな力であっても、積み重なれば大きな手助けになる。",122,TRUE
q_123,捲土重来,四字熟語,"一度敗れた者が、再び勢いを盛り返して攻め寄せてくること。",123,TRUE
q_124,一陽来復,四字熟語,"厳しい冬が去り春が来ること。転じて、苦難の後に幸運が巡ってくること。",124,TRUE
q_125,七転八倒より七転八起,日本の格言,"苦しんで転げ回る（八倒）より、何度倒れても立ち上がる（八起）精神を持て。",125,TRUE
q_126,鉄は熱いうちに打て,西洋のことわざ,"情熱があるうち、あるいは柔軟な若いうちに自分を鍛えるべきである。",126,TRUE
q_127,良薬は口に苦し,孔子,"自分のためになる忠告は、素直に聞きにくいものだが、心して聞くべきだ。",127,TRUE
q_128,人事を尽くして天命を待つ,胡寅,"自分の持てる力を全て出し切ったなら、あとは結果を天の意思に任せて落ち着く。",128,TRUE
q_129,牛の歩みも千里,日本のことわざ,"進みは遅くても、たゆまず努力を続ければ、最後には大きな成果が得られる。",129,TRUE
q_130,急がば回れ,日本のことわざ,"急いでいる時ほど、危険な近道より確実な遠回りを選ぶ方が、結局は早く着く。",130,TRUE
q_131,千載一遇,四字熟語,"千年に一度しか巡り合えないような、滅多にない絶好の機会。",131,TRUE
q_132,一気呵成,四字熟語,"物事を一息に、一気に仕上げてしまうこと。",132,TRUE
q_133,格致日新,四字熟語,"知識を深め、日々自己を新しくしていくこと。",133,TRUE
q_134,精励恪勤,四字熟語,"仕事や学業に、誠実に、かつ一生懸命に励むこと。",134,TRUE
q_135,率先垂範,四字熟語,"人に先立って自分が手本を示し、周囲を導くこと。",135,TRUE
q_136,独立自尊,福沢諭吉,"他人に頼らず自分の力で立ち、自分自身の尊厳を保つこと。",136,TRUE
q_137,百折不撓,四字熟語,"何度失敗し、くじけそうになっても、決して信念を曲げないこと。",137,TRUE
q_138,摩頂放踵,四字熟語,"頭の先から足のかかとをすり減らすまで、身を惜しまず他人のために尽くすこと。",138,TRUE
q_139,勇気百倍,四字熟語,"何かのきっかけで、勇気が何倍にも湧いてくること。",139,TRUE
q_140,雲外蒼天,四字熟語,"目の前の試練（雲）を突き抜ければ、そこには青空（成功）が待っている。",140,TRUE
q_141,光風動春,四字熟語,"春の光と風が万物を動かすように、人の心が世界を明るく変える。",141,TRUE
q_142,切磋琢磨,四字熟語,"仲間同士で励まし合い、競い合って、共に向上していくこと。",142,TRUE
q_143,一刻千金,四字熟語,"わずかな時間も、千金に値するほど極めて貴重であるということ。",143,TRUE
q_144,有言実行,四字熟語,"口に出したことは、何が何でもやり遂げるということ。",144,TRUE
q_145,知行合一,王陽明,"本当の知識は、実際の行動を伴って初めて完成するということ。",145,TRUE
q_146,温故知新,四字熟語,"前に学んだことや昔の出来事を振り返り、新しい知恵を導き出す。",146,TRUE
q_147,明鏡止水,四字熟語,"曇りのない鏡や静かな水面のように、落ち着き払った澄んだ心境。",147,TRUE
q_148,万事急すと思ったら道は開ける,日本の格言,"絶体絶命だと思った瞬間こそ、新しいアイデアや解決策が生まれる。",148,TRUE
q_149,虎を画きて狗に類す,後漢書,"高すぎる目標を掲げて中途半端に終わることを戒め、着実な努力を促す言葉。",149,TRUE
q_150,自浄其意,仏教,"自分の心を常に清らかに保つよう努めることが、全ての善行の基本。",150,TRUE
q_151,起死回生,四字熟語,"絶望的な状況から、一気に勢いを盛り返して立て直すこと。",151,TRUE
q_152,堅忍不抜,四字熟語,"どんなことがあっても耐え忍び、決して心を動かさないこと。",152,TRUE
q_153,志操堅固,四字熟語,"自分が一度立てた志や考えを、固く守って変えないこと。",153,TRUE
q_154,進取果敢,四字熟語,"自ら進んで新しい物事に取り組み、強い決断力を持って実行すること。",154,TRUE
q_155,風林火山,武田信玄,"状況に応じて、素早く動き、静かに待ち、激しく攻め、動じないこと。",155,TRUE
q_156,大器晩成,四字熟語,"大きな才能を持つ人は、完成するまでに時間がかかるが、必ず大成する。",156,TRUE
q_157,朝令暮改を恐れるな,日本の格言,"状況が変われば、過去の決定にこだわらず柔軟に修正する勇気を持て。",157,TRUE
q_158,失敗は最大の学びである,日本の格言,"成功からは少ししか学べないが、失敗からは人生を変える教訓が得られる。",158,TRUE
q_159,自分の道は自分で切り開く,日本の格言,"他人に用意された道ではなく、自分の意志で歩む道にこそ価値がある。",159,TRUE
q_160,一念発起,四字熟語,"あることを成し遂げようと、強く決心すること。",160,TRUE
q_161,"最大の名誉は一度も倒れないことではない。倒れるたびに起き上がることだ",ネルソン・マンデラ,"挫折を経験せずに成功することより、逆境から立ち上がる力こそが気高い。",161,TRUE
q_162,他人の意見というノイズに、自分の内なる声をかき消されてはいけない,スティーブ・ジョブズ,"周囲の評価に惑わされず、自分の直感と好奇心を信じて進め。",162,TRUE
q_163,"天才とは、自分自身を、自分の力を信じることだ",マクシム・ゴーリキー,"才能とは特殊な能力ではなく、自分を信じ抜く強さのことである。",163,TRUE
q_164,"成功とは、意欲を失わずに失敗に次ぐ失敗を繰り返していく能力である",ウィンストン・チャーチル,"何度失敗しても、最初の情熱を持ち続けられる者が最後に勝つ。",164,TRUE
q_165,"私は一度も失敗したことがない。ただ、一万通りの「うまくいかない方法」を見つけただけだ",トーマス・エジソン,"全ての「うまくいかない経験」は成功のための貴重なデータである。",165,TRUE
q_166,下を向いていたら、虹を見つけることはできないよ,チャールズ・チャップリン,"悲しみや不安に囚われて視線を落とさず、希望を探し続けよう。",166,TRUE
q_167,"あなたの時間は限られている。だから、誰かの人生を生きることで時間を無駄にしてはいけない",スティーブ・ジョブズ,"自分自身の心に従い、後悔のない時間を過ごすべきだ。",167,TRUE
q_168,"思考に気をつけなさい、それはいつか言葉になるから。言葉に気をつけなさい、それはいつか行動になるから。行動に気をつけなさい、それはいつか習慣になるから。習慣に気をつけなさい、それはいつか性格になるから。性格に気をつけなさい、それはいつか運命になるから。",マーガレット・サッチャー,"運命を変える第一歩は、自分自身の日々の「考え方」にある。",168,TRUE
q_169,あなたがこの世で見たいと思う変化に、あなた自身がなりなさい,マハトマ・ガンジー,"世界が変わるのを待つのではなく、まず自分自身が行動して手本を示せ。",169,TRUE
q_170,"運とは、準備がチャンスに出会った時に起こるものだ",セネカ,"幸運を掴めるのは、いつチャンスが来てもいいように努力を続けていた人だけだ。",170,TRUE
q_171,未来を予測する最善の方法は、それを発明することだ,アラン・ケイ,"未来を不安に思うより、自分の手で理想の未来を作り上げてしまおう。",171,TRUE
q_172,自分ならできると信じれば、目標の半分は達成したようなものだ,セオドア・ルーズベルト,"強い自信を持つことが、行動を起こし完遂させるための最大のエネルギー。",172,TRUE
q_173,顔をいつも太陽のほうへ向けていて。そうすれば影を見なくて済むわ,ヘレン・ケラー,"常にポジティブな面を見つめていれば、ネガティブな要素は気にならなくなる。",173,TRUE
q_174,人生は公平ではない。そのことに慣れることだ,ビル・ゲイツ,"不公平を嘆くことに時間を使うより、与えられた条件下でどう戦うかを考えろ。",174,TRUE
q_175,"じっくり考えろ。しかし、行動する時が来たら考えるのをやめて、進め",ナポレオン・ボナパルト,"準備は入念に行い、いざ決断したら迷いを捨てて実行に移せ。",175,TRUE
q_176,"不可能なこと（Impossible）なんてないわ。この言葉自体が「私は可能だ（I'm possible）」と言っているのだから",オードリー・ヘップバーン,"捉え方を変えれば、全ての困難はチャンスに変わる。",176,TRUE
q_177,あなたが無駄に過ごした今日は、昨日死んだ誰かが死ぬほど生きたかった明日だ,韓国の小説『カシコ』より,"今この瞬間を生きていることの尊さを自覚し、一日一日を大切にせよ。",177,TRUE
q_178,速度を上げるばかりが、人生ではない,マハトマ・ガンジー,"焦って結果を求めるよりも、正しい方向に進んでいるかを確認することが大切。",178,TRUE
q_179,"人生において犯す最大の過ちは、過ちを犯すのではないかと恐れ続けることだ",エルバート・ハバード,"失敗を怖がって何もしないことが、人生で最も損な選択である。",179,TRUE
q_180,発見とは、誰もが見ているものを見て、誰も考えなかったことを考えることだ,セント・ジェルジ,"当たり前の景色の中に、新しい価値を見出す視点を持とう。",180,TRUE
q_181,困難の中に、機会がある,アルベルト・アインシュタイン,"問題が起きた時こそ、それを解決することで大きく成長できるチャンス。",181,TRUE
q_182,何事も成し遂げるまでは不可能に見えるものだ,ネルソン・マンデラ,"誰もやったことがないことでも、やり遂げてしまえばそれは「可能」になる。",182,TRUE
q_183,昨日のことから学び、今日のために生き、明日に希望を持て,アルベルト・アインシュタイン,"過去の経験を活かし、今を全力で生きることが、輝かしい未来を作る。",183,TRUE
q_184,準備を怠る者は、失敗する準備をしているのだ,ベンジャミン・フランクリン,"成功は偶然ではなく、入念な準備と計画の末に得られるもの。",184,TRUE
q_185,あなたの志を冷笑するような人たちからは離れなさい,マーク・トウェイン,"自分の可能性を否定する言葉に耳を貸さず、高め合える環境を選べ。",185,TRUE
q_186,"素晴らしい仕事をする唯一の方法は、自分のしていることを愛することだ",スティーブ・ジョブズ,"情熱を持って取り組めることを見つけた時、最高の成果が生まれる。",186,TRUE
q_187,"私は、自分に何ができるかを知るために、常に自分にできないことをしている",パブロ・ピカソ,"自分の枠を超え続けることでしか、本当の才能は磨かれない。",187,TRUE
q_188,勝利は、もっとも耐え忍んだ者にもたらされる,ナポレオン・ボナパルト,"最後に勝つのは、どんなに苦しくても最後まで諦めずに踏ん張った人だ。",188,TRUE
q_189,"教育とは、世界を変えるために用いることができる、最も強力な武器である",ネルソン・マンデラ,"学び続けることが、自分自身と世界をアップデートする唯一の手段。",189,TRUE
q_190,自分を信頼せよ。そうすれば、生きる道が見えてくる,ヨハン・ヴォルフガング・フォン・ゲーテ,"自分の信念に従って行動すれば、迷いは消え、進むべき方向が明確になる。",190,TRUE
q_191,幸せになりたいのなら、なりなさい,レフ・トルストイ,"幸せかどうかを決めるのは外部の環境ではなく、自分自身の決意である。",191,TRUE
q_192,100回叩くと壊れる壁を、99回目で諦めてはいけない,日本の格言,"成功はすぐそこまで来ているかもしれない。あともう少しの踏ん張りを。",192,TRUE
q_193,"誰よりも三倍、四倍、五倍勉強する。これ以外に方法はない",野口英世,"卓越した存在になるには、圧倒的な努力量で差をつけるしかない。",193,TRUE
q_194,夢見ることができれば、それは実現できる,ウォルト・ディズニー,"想像力は実現への第一歩。強く描き続ければ、必ず形になる。",194,TRUE
q_195,最善を尽くせ。あとは天に任せよ,チャールズ・リンドバーグ,"自分ができる限りのことをやったなら、結果を恐れず堂々としていればよい。",195,TRUE
q_196,若いうちの苦労は買ってでもせよ,日本のことわざ,"若い時の困難な経験は、将来の大きな器を作るための貴重な財産になる。",196,TRUE
q_197,限界なんてない。あるのは停滞期だけだ,ブルース・リー,"行き詰まったと感じても、それは成長のための準備期間。突き抜けろ。",197,TRUE
q_198,小さなことを積み重ねることが、とんでもないところへ行くただ一つの道だ,イチロー,"毎日のルーティンや細かな努力こそが、最終的に大きな格差を生む。",198,TRUE
q_199,挑戦を止めた時、君は老い始める,ヘンリー・フォード,"年齢に関係なく、新しいことに挑み続ける限り、人は若々しくいられる。",199,TRUE
